name,surname,gender,age,country,contact,languages,studies

Urbano,Rossander,Male,25,Poland,"{'email': ['urossander0@networkadvertising.org', 'urossander0@businessinsider.com'], 'phone': '876 895 602'}","['English', 'German', 'Ukrainian']","{'semester': 4, 'field': 'Applied Informatics', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [3, 3]}, {'name': 'mathematics', 'grades': [4, 3, 3, 3]}, {'name': 'economics', 'grades': [3, 3, 2, 5]}, {'name': 'statistics', 'grades': [4, 4, 4, 4, 2]}]}"

Krispin,Bezants,Male,19,Poland,"{'email': [], 'phone': '680 229 085'}",['French'],"{'semester': 6, 'field': 'Applied Informatics', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [2, 5, 2, 2, 3]}, {'name': 'mathematics', 'grades': [2, 3, 2, 5]}]}"

Tadeas,Bleacher,Male,18,Ukraine,"{'email': ['tbleacher2@amazon.de'], 'phone': '841 266 040'}",['Ukrainian'],"{'semester': 2, 'field': 'Finance', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [4, 4, 4]}, {'name': 'mathematics', 'grades': [4, 4, 4, 2]}, {'name': 'economics', 'grades': [3, 4, 4, 2]}, {'name': 'statistics', 'grades': [3, 4, 3, 2]}]}"

Pincus,Haggis,Male,22,Germany,"{'email': ['phaggis3@ifeng.com', 'phaggis3@tumblr.com'], 'phone': '827 150 525'}",[],"{'semester': 5, 'field': 'Business Administration', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [2, 5, 2, 4, 4]}, {'name': 'mathematics', 'grades': [5, 4, 2, 3]}, {'name': 'economics', 'grades': [5, 3]}]}"

Minnie,Mesant,Female,24,Czech Republic,"{'email': ['mmesant4@clickbank.net', 'mmesant4@freewebs.com'], 'phone': '826 987 037'}",[],"{'semester': 3, 'field': 'Law', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [4, 3]}, {'name': 'mathematics', 'grades': [4, 4, 3]}]}"

Thurstan,Lindmark,Male,23,Poland,"{'email': ['tlindmark5@dailymotion.com'], 'phone': '516 624 948'}","['German', 'French', 'English']","{'semester': 2, 'field': 'Accounting', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [5, 4, 3, 5, 4]}, {'name': 'mathematics', 'grades': [5, 4, 3]}, {'name': 'economics', 'grades': [4, 5, 4, 5]}, {'name': 'statistics', 'grades': [5, 4, 3, 3]}]}"

Merv,Verdey,Male,22,Poland,"{'email': [], 'phone': '837 576 346'}","['Ukrainian', 'German', 'Spanish']","{'semester': 5, 'field': 'Business Administration', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [2, 3]}, {'name': 'mathematics', 'grades': [3, 3, 3]}, {'name': 'economics', 'grades': [3, 4, 5]}, {'name': 'statistics', 'grades': [3, 4, 4]}]}"

Kinna,Pine,Female,21,Ukraine,"{'email': ['kpine7@illinois.edu'], 'phone': '858 237 509'}",['German'],"{'semester': 6, 'field': 'Business Administration', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [3, 5]}, {'name': 'mathematics', 'grades': [2, 4, 2, 4]}]}"

Aliza,Ramme,Female,18,Poland,"{'email': [], 'phone': '888 542 309'}","['German', 'English', 'Ukrainian']","{'semester': 4, 'field': 'Business Administration', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [2, 3]}, {'name': 'mathematics', 'grades': [5, 4, 2, 3, 3]}]}"

Prentice,Goodredge,Male,23,Ukraine,"{'email': ['pgoodredge9@narod.ru', 'pgoodredge9@edublogs.org'], 'phone': '807 658 976'}",[],"{'semester': 1, 'field': 'Accounting', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [2, 2]}, {'name': 'mathematics', 'grades': [5, 4, 4, 3]}]}"

Orlan,Boulter,Male,20,Poland,"{'email': [], 'phone': '582 666 104'}","['French', 'English', 'Ukrainian']","{'semester': 5, 'field': 'Business Administration', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [3, 2]}, {'name': 'mathematics', 'grades': [3, 4, 3, 3]}]}"

Sydney,Andric,Female,20,Ukraine,"{'email': ['sandricb@bandcamp.com'], 'phone': '848 848 246'}","['Ukrainian', 'French']","{'semester': 2, 'field': 'Finance', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [2, 2, 3, 5]}, {'name': 'mathematics', 'grades': [3, 4, 4, 4, 4]}, {'name': 'economics', 'grades': [2, 4]}, {'name': 'statistics', 'grades': [3, 3, 5, 5, 3]}]}"

Winnifred,Chung,Female,25,Ukraine,"{'email': [], 'phone': '888 434 346'}","['French', 'German']","{'semester': 5, 'field': 'Finance', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [4, 3, 3, 2]}, {'name': 'mathematics', 'grades': [5, 5, 4, 2]}, {'name': 'economics', 'grades': [5, 4, 4, 2, 2]}]}"

Giorgio,Pioli,Male,23,Ukraine,"{'email': ['gpiolid@prweb.com'], 'phone': '631 513 208'}","['Spanish', 'German', 'English']","{'semester': 2, 'field': 'Applied Informatics', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [2, 2, 3]}, {'name': 'mathematics', 'grades': [5, 2, 3, 5, 3]}, {'name': 'economics', 'grades': [3, 3]}]}"

Briant,Wroth,Male,18,Ukraine,"{'email': ['bwrothe@businesswire.com', 'bwrothe@trellian.com'], 'phone': '601 587 452'}",[],"{'semester': 6, 'field': 'Law', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [4, 5, 4, 5]}, {'name': 'mathematics', 'grades': [3, 3]}, {'name': 'economics', 'grades': [2, 4, 5, 5, 3]}, {'name': 'statistics', 'grades': [4, 4, 3, 2, 5]}, {'name': 'english', 'grades': [2, 4, 3, 4]}]}"

Drucill,Whate,Female,24,Czech Republic,"{'email': [], 'phone': '833 279 433'}","['French', 'German']","{'semester': 2, 'field': 'Finance', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [2, 2]}, {'name': 'mathematics', 'grades': [4, 3]}, {'name': 'economics', 'grades': [4, 4]}, {'name': 'statistics', 'grades': [4, 3]}, {'name': 'english', 'grades': [4, 2, 3]}]}"

Rogers,Cowx,Male,18,Czech Republic,"{'email': ['rcowxg@miibeian.gov.cn'], 'phone': '643 210 798'}","['Spanish', 'German', 'English']","{'semester': 4, 'field': 'Accounting', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [5, 4, 4, 3, 3]}, {'name': 'mathematics', 'grades': [5, 2]}, {'name': 'economics', 'grades': [2, 2, 4, 2, 3]}]}"

